0 100 384,504,1224,1224
1 100 0,480,1224,1200
2 100 96,480,1224,1200
3 100 96,480,1224,1200
4 100 96,480,1224,1200
5 100 0,480,1224,1200
6 100 0,480,1224,1200
7 100 0,480,1224,1200
8 100 96,480,1224,1200
9 100 96,480,1224,1200
10 100 72,480,1224,1200
11 100 72,480,1224,1200
12 100 48,480,1224,1200
13 100 24,480,1224,1200
14 100 24,480,1224,1200
15 100 3408,480,1224,1200
16 100 3408,480,1224,1200
17 100 3432,480,1224,1200
18 100 3456,480,1224,1200
19 100 3480,480,1224,1200
20 100 3528,480,1224,1200
21 100 3528,480,1224,1200
22 100 3528,480,1224,1200
23 100 3576,480,1224,1200
24 100 3576,480,1224,1200
25 100 3552,480,1224,1200
26 100 3504,480,1224,1200
27 100 3456,480,1224,1200
28 100 3432,480,1224,1200
29 100 3432,480,1224,1200
30 100 3408,480,1224,1200
31 100 72,480,1224,1224
32 100 3600,480,1224,1224
33 100 3552,504,1224,1200
34 100 3480,504,1224,1200
35 100 3432,504,1224,1200
36 100 3432,504,1224,1200
37 100 3456,504,1224,1200
38 100 3432,504,1224,1200
39 100 3408,504,1224,1200
40 100 3432,504,1224,1200
41 100 3432,504,1224,1200
42 100 3432,504,1224,1200
43 100 3432,504,1224,1200
44 100 3408,504,1224,1200
45 100 24,504,1224,1224
46 100 3696,504,1224,1224
47 100 3696,504,1224,1224
48 100 3672,504,1224,1224
49 100 3672,504,1224,1224
50 100 3696,504,1224,1224
51 100 3720,504,1224,1224
52 100 3720,504,1224,1224
53 100 3672,504,1224,1224
54 100 3672,504,1224,1224
55 100 3648,504,1224,1224
56 100 3672,504,1224,1224
57 100 3696,504,1224,1224
58 100 0,504,1224,1224
59 100 3384,504,1224,1200
60 100 3408,504,1224,1200
61 100 3408,504,1224,1200
62 100 3408,504,1224,1200
63 100 3432,504,1224,1200
64 100 0,504,1224,1200
65 100 0,504,1224,1200
66 100 24,504,1224,1200
67 100 48,504,1224,1200
68 100 72,504,1224,1200
69 100 0,504,1224,1200
70 100 24,504,1224,1200
71 100 48,504,1224,1200
72 100 48,504,1224,1200
73 100 24,504,1224,1200
74 100 24,504,1224,1200
75 100 24,504,1224,1200
76 100 0,504,1224,1200
77 100 0,504,1224,1224
78 100 0,504,1224,1224
79 100 24,504,1224,1224
80 100 0,528,1224,1200
81 100 0,528,1224,1200
82 100 0,528,1224,1200
83 100 24,528,1224,1200
84 100 48,528,1224,1200
85 100 96,528,1224,1200
86 100 96,528,1224,1200
87 100 144,528,1224,1200
88 100 192,528,1224,1224
89 100 216,528,1224,1224
90 100 240,528,1224,1224
91 100 312,552,1224,1200
92 100 312,552,1224,1200
93 100 408,552,1224,1200
94 100 480,552,1224,1200
95 100 480,552,1224,1200
96 100 576,552,1224,1200
97 100 600,552,1224,1200
98 100 696,552,1224,1200
99 100 696,552,1224,1200
100 100 792,552,1224,1200
101 100 816,552,1224,1200
102 100 912,552,1224,1200
103 100 984,552,1224,1200
104 100 1008,552,1224,1200
105 100 1080,552,1224,1200
106 100 1104,552,1224,1200
107 100 1152,552,1224,1200
108 100 1176,552,1224,1200
109 100 1176,552,1224,1200
110 100 1248,552,1224,1200
111 100 1272,552,1224,1200
112 100 1296,552,1224,1200
113 100 1344,552,1224,1200
114 100 1344,552,1224,1200
115 100 1392,552,1224,1200
116 100 1392,552,1224,1200
117 100 1416,552,1224,1200
118 100 1440,552,1224,1200
119 100 1464,552,1224,1200
